Porifera			
			
		Tripyla	setifera
		Tobrilus	
		Tobrilus	gracilis
		Tobrilus	pellucidus
	Ironidae		
		Ironus	
		Ironus	ignavus
		Ironus	tenuicaudatus
	Alaimidae		
		Alaimus	
		Alaimus	primitivus
	Dorylaimida		
	Dorylaimidae		
		Dorylaimus	
		Dorylaimus	stagnalis
		Mesodorylaimus	
		Mesodorylaimus	bastiani
		Mesodorylaimus	filiformis
		Mesodorylaimus	tenuicaudatus
		Eudorylaimus	
		Eudorylaimus	acuticauda
		Eudorylaimus	carteri
		Eudorylaimus	iners
		Eudorylaimus	intermedius
		Eudorylaimus	rhopalocercus
		Aporcelaimus	
		Aporcelaimus	obscurus
		Prodorylaimus	
		Prodorylaimus	longicaudatus
		Thornenema	
		Thornenema	wickeni
		Actinolaimus	
		Actinolaimus	macrolaimus
	Belondiridae		
		Dorylaimellus	
		Dorylaimellus	globatus
	Leptonchidae		
		Tylencholaimellus	
		Tylencholaimellus	fenensis
	Mononchidae		
		Mononchus	
		Mononchus	papillatus
		Mononchus	truncatus
		Mononchus	tunbridgensis
		Prionchulus	
		Prionchulus	muscorum
Gastrotricha			
			
	Chaetonotoidea		
	Chaetonotidae		
		Chaetonotus	
		Chaetonotus	maximus
		Chaetonotus	schultzei
		Chaetonotus	simrothi
		Chaetonotus	slackiae
		Chaetonotus	zelinkai
		Heterolepidoderma	
		Heterolepidoderma	marinum
		Polymerurus	
		Polymerurus	longicaudatus
	Dichaeturidae		
		Dichaetura	
		Dichaetura	piscator
	Neogosseidae		
		Neogossea	
		Neogossea	antennigera
	Dasyditidae		
		Dasydites	
		Dasydites	goniathrix
		Setopus	
		Setopus	bisetosus
		Stylochaeta	
		Stylochaeta	fusiformis
Rotifera			
			
	Bdelloidea		
	Habrotrochidae		
		Otostephanus	
		Otostephanus	torquatus
		Scepanotrocha	
		Scepanotrocha	corniculata
		Scepanotrocha	rubra
		Habrotrocha	
		Habrotrocha	angusticollis
		Habrotrocha	annulata
		Habrotrocha	appendiculata
		Habrotrocha	aspera
		Habrotrocha	bidens
		Habrotrocha	collaris
		Habrotrocha	constricta
		Habrotrocha	crenata
		Habrotrocha	elegans
		Habrotrocha	eremita
		Habrotrocha	flava
		Habrotrocha	flaviformis
		Habrotrocha	fusca
		Habrotrocha	insignis
		Habrotrocha	lata
		Habrotrocha	leitgebi
		Habrotrocha	ligula
		Habrotrocha	longiceps
		Habrotrocha	longula
		Habrotrocha	microcephala
		Habrotrocha	minuta
		Habrotrocha	munda
		Habrotrocha	pavida
		Habrotrocha	pulchra
		Habrotrocha	pusilla
		Habrotrocha	reclusa
		Habrotrocha	roeperi
		Habrotrocha	spicula
		Habrotrocha	sylvestris
		Habrotrocha	thermalis
		Habrotrocha	tridens
		Habrotrocha	tripus
		Habrotrocha	visa
	Adinetidae		
		Adineta	
		Adineta	barbata
		Adineta	gracilis
		Adineta	oculata
		Adineta	tuberculosa
		Adineta	vaga
		Bradyscela	
		Bradyscela	clauda
	Philodinidae		
		Mniobia	
		Mniobia	armata
		Mniobia	circinata
		Mniobia	incrassata
		Mniobia	magna
		Mniobia	russeola
		Mniobia	scarlatina
		Mniobia	symbiotica
		Mniobia	tetraodon
		Ceratotrocha	
		Ceratotrocha	cornigera
		Rotaria	
		Rotaria	citrina
		Rotaria	curtipes
		Rotaria	elongata
		Rotaria	haptica
		Rotaria	macroceros
		Rotaria	macrura
		Rotaria	magna-calcarata
		Rotaria	mento
		Rotaria	murrayi
		Rotaria	neptunia
		Rotaria	neptunoida
		Rotaria	quadrioculata
		Rotaria	rotatoria
		Rotaria	socialis
		Rotaria	sordida
		Rotaria	spicata
		Rotaria	tardigrada
		Rotaria	trisecata
		Macrotrachela	
		Macrotrachela	aculeata
		Macrotrachela	angusta
		Macrotrachela	asperula
		Macrotrachela	bilfingeri
		Macrotrachela	bullata
		Macrotrachela	concinna
		Macrotrachela	crucicornis
		Macrotrachela	decora
		Macrotrachela	ehrenbergi
		Macrotrachela	fungicola
		Macrotrachela	habita
		Macrotrachela	multispinosa
		Macrotrachela	muricata
		Macrotrachela	musculosa
		Macrotrachela	nana
		Macrotrachela	natans
		Macrotrachela	ornata
		Macrotrachela	papillosa
		Macrotrachela	plicata
		Macrotrachela	quadricornifera
		Macrotrachela	vesicularis
		Embata	
		Embata	commensalis
		Embata	hamata
		Embata	laticeps
		Embata	laticornis
		Embata	parasitica
		Philodina	
		Philodina	acuticornis
		Philodina	brevipes
		Philodina	citrina
		Philodina	convergens
		Philodina	erythrophthalma
		Philodina	flaviceps
		Philodina	megalotrocha
		Philodina	nemoralis
		Philodina	plena
		Philodina	roseola
		Philodina	rugosa
		Philodina	vorax
		Dissotrocha	
		Dissotrocha	aculeata
		Dissotrocha	macrostyla
		Dissotrocha	spinosa
		Pleuretra	
		Pleuretra	alpium
		Pleuretra	brycei
		Pleuretra	humerosa
	Philodinavidae		
		Philodinavus	
		Philodinavus	paradoxus
		Henoceros	
		Henoceros	falcatus
	Flosculariacea		
	Testudinellidae		
		Testudinella	
		Testudinella	caeca
		Testudinella	clypeata
		Testudinella	elliptica
		Testudinella	incisa
		Testudinella	mucronata
		Testudinella	parva
		Testudinella	patina
		Testudinella	reflexa
		Testudinella	truncata
		Pompholyx	
		Pompholyx	complanata
		Pompholyx	sulcata
	Flosculariidae		
		Beauchampia	
		Beauchampia	crucigera
		Limnias	
		Limnias	ceratophylli
		Limnias	cornuella
		Limnias	melicerta
		Limnias	myriophylli
		Floscularia	
		Floscularia	janus
		Floscularia	melicerta
		Floscularia	ringens
		Ptygura	
		Ptygura	beauchampi
		Ptygura	brachiata
		Ptygura	brevis
		Ptygura	cephaloceras
		Ptygura	crystallina
		Ptygura	furcillata
		Ptygura	intermedia
		Ptygura	longicornis
		Ptygura	melicerta
		Ptygura	pilula
		Ptygura	rotifer
		Ptygura	tridorsicornis
		Ptygura	velata
		Sinantherina	
		Sinantherina	socialis
		Lacinularia	
		Lacinularia	flosculosa
	Conochilidae		
		Conochilus	
		Conochilus	hippocrepis
		Conochilus	unicornis
		Conochiloides	
		Conochiloides	dossuarius
		Conochiloides	natans
	Hexarthridae		
		Hexarthra	
		Hexarthra	mira
	Filiniidae		
		Filinia	
		Filinia	cornuta
		Filinia	longiseta
		Filinia	terminalis
	Collothecacea		
	Collothecidae		
		Collotheca	
		Collotheca	ambigua
		Collotheca	annulata
		Collotheca	calva
		Collotheca	campanulata
		Collotheca	coronetta
		Collotheca	crateriformis
		Collotheca	cucullata
		Collotheca	edentata
		Collotheca	gossei
		Collotheca	heptabrachiata
		Collotheca	hoodi
		Collotheca	libera
		Collotheca	minuta
		Collotheca	mira
		Collotheca	moseli
		Collotheca	mutabilis
