genus	species
Culiseta (Culicella)	morsitans
Culiseta (Culiseta)	alaskaensis
Culiseta (Culiseta)	annulata
Culiseta (Culiseta)	subochrea
Cupelopagis	vorax
Cybister	lateralimarginalis
Cyclocypris	globosa
Cyclocypris	laevis
Cyclocypris	ovum
Cyclocypris	serena
Cyclopina	esilis
Cyclopina	norvegica
Cyclops	abyssorum
Cyclops	furcifer
Cyclops	singularis
Cyclops	strenuus
Cyclops	vicinus
Cymatia	bonsdorffii
Cymatia	coleoptrata
Cymatia	rogenhoferi
Cymbiodyta	marginellus
Cyphon	coarctatus
Cyphon	hilaris
Cyphon	kongsbergensis
Cyphon	laevipennis
Cyphon	ochraceus
Cyphon	padi
Cyphon	palustris
Cyphon	pubescens
Cyphon	punctipennis
Cyphon	variabilis
Cypria	exsculpta
Cypria	ophthalmica
Cyprideis	torosa
Cypridopsis	aculeata
Cypridopsis	bamberi
Cypridopsis	hartwigi
Cypridopsis	helvetica
Cypridopsis	newtoni
Cypridopsis	obesa
Cypridopsis	vidua
Cypris	bispinosa
Cypris	pubera
Cyprois	marginata
Cyrnus	flavidus
Cyrnus	insolutus
Cyrnus	trimaculatus
Cyrtogaster	clavicornis
Cyrtonia	tuba
Cytherissa	lacustris
Dacnusa	discolor
Dacnusa	temula
Dactylolabis (Dactylolabis)	sexmaculata
Dactylolabis (Dactylolabis)	transversa
Dactylosternum	abdominale
Dalyellia	viridis
Daphnia 	ambigua
Daphnia 	atkinsoni
Daphnia 	cucullata
Daphnia 	curvirostris
Daphnia 	galeata
Daphnia 	hyalina
Daphnia 	longispina
Daphnia 	magna
Daphnia 	obtusa
Daphnia 	parvula
Daphnia 	pulex
Daphnia 	rosea
Darwinula	stevensoni
Dasydites	goniathrix
Dasyhelea (Dasyhelea)	bensoni
Dasyhelea (Dasyhelea)	dufouri
Dasyhelea (Dasyhelea)	flavifrons
Dasyhelea (Dasyhelea)	saxicola
Dasyhelea (Dicryptoscena)	modesta
Dasyhelea (Dicryptoscena)	notata
Dasyhelea (Prokempia)	biunguis
Dasyhelea (Prokempia)	flaviventris
Dasyhelea (Pseudoculicoides)	corinneae
Dasyhelea (Pseudoculicoides)	flavoscutellata
Dasyhelea (Sebessia)	acuminata
Dasyhelea (Sebessia)	holosericea
Datonychus	melanostictus
Demeijerea	rufipes
Demicryptochironomus (Demicryptochironomus)	vulneratus
Demicryptochironomus (Irmakia)	neglectus
Dendrocerus	aphidum
Dendrocoelum	lacteum
Dendrodrilus	rubidus
Dero (Aulophorus)	furcatus
Dero (Dero)	digitata
Dero (Dero)	obtusa
Deronectes	latus
Desoria	infuscata
Diacyclops	bicuspidatus
Diacyclops	bisetosus
Diacyclops	crassicaudis
Diacyclops	languidoides
Diacyclops	languidus
Diacyclops	nanus
Diamesa	bohemani
Diamesa	cinerella
Diamesa	group
Diamesa	incallida
Diamesa	insignipes
Diamesa	latitarsis
Diamesa	permacra
Diamesa	tonsa
Diaphanosoma 	brachyurum
Diapria	conica
Diaptomus	castor
Diaptomus	cyaneus
Dichaetura	piscator
Dichelesthium	oblongum
Dicranomyia (Dicranomyia)	aperta
Dicranomyia (Dicranomyia)	autumnalis
Dicranomyia (Dicranomyia)	chorea
Dicranomyia (Dicranomyia)	consimilis
Dicranomyia (Dicranomyia)	didyma
Dicranomyia (Dicranomyia)	distendens
Dicranomyia (Dicranomyia)	frontalis
Dicranomyia (Dicranomyia)	goritiensis
Dicranomyia (Dicranomyia)	halterata
Dicranomyia (Dicranomyia)	lucida
Dicranomyia (Dicranomyia)	mitis
Dicranomyia (Dicranomyia)	modesta
Dicranomyia (Dicranomyia)	omissinervis
Dicranomyia (Dicranomyia)	ornata
Dicranomyia (Dicranomyia)	sera
Dicranomyia (Dicranomyia)	ventralis
Dicranomyia (Glochina)	pauli
Dicranomyia (Glochina)	sericata
Dicranomyia (Idiopyga)	danica
Dicranomyia (Idiopyga)	halterella
Dicranomyia (Idiopyga)	magnicauda
Dicranomyia (Idiopyga)	melleicauda
Dicranomyia (Idiopyga)	nigristigma
Dicranomyia (Idiopyga)	stigmatica
Dicranomyia (Melanolimonia)	caledonica
Dicranomyia (Melanolimonia)	morio
Dicranomyia (Melanolimonia)	occidua
Dicranomyia (Melanolimonia)	rufiventris
Dicranomyia (Melanolimonia)	stylifera
Dicranomyia (Numantia)	fusca
Dicranomyia (Sivalimnobia)	aquosa
Dicranophorus	aquilus
Dicranophorus	aspondus
Dicranophorus	caudatus
Dicranophorus	forcipatus
Dicranophorus	grandis
Dicranophorus	hercules
Dicranophorus	lutkeni
Dicranophorus	permollis
Dicranophorus	rosa
Dicranophorus	rostratus
Dicranophorus	uncinatus
Dicranoptycha	fuscescens
Dicranota (Dicranota)	bimaculata
Dicranota (Dicranota)	guerini
Dicranota (Ludicia)	claripennis
Dicranota (Ludicia)	lucidipennis
Dicranota (Paradicranota)	gracilipes
Dicranota (Paradicranota)	pavida
Dicranota (Paradicranota)	robusta
Dicranota (Paradicranota)	simulans
Dicranota (Paradicranota)	subtilis
Dicranota (Rhaphidolabis)	exclusa
Dicrotendipes	lobiger
Dicrotendipes	nervosus
Dicrotendipes	notatus
Dicrotendipes	pallidicornis
Dicrotendipes	pulsus
Dicrotendipes	tritomus
Dictya	umbrarum
Dikerogammarus	villosus
Dina	lineata
Dinocras	cephalotes
Diplectrona	felix
Dipleuchlanis	propatula
Diplocladius	cultriger
Diplogaster	rivalis
Diplois	daviesiae
Discobola	annulata
Disparalona 	rostrata
Dissotrocha	aculeata
Dissotrocha	macrostyla
Dissotrocha	spinosa
Ditaeniella	grisescens
Diura	bicaudata
Dixa	dilatata
Dixa	maculata
Dixa	maculata complex
Dixa	nebulosa
Dixa	nubilipennis
Dixa	puberula
Dixa	submaculata
Dixella	aestivalis
Dixella	amphibia
Dixella	attica
Dixella	autumnalis
Dixella	filicornis
Dixella	graeca
Dixella	martinii
Dixella	obscura
Dixella	serotina
Dolerocypris	fasciata
Dolichocephala	guttata
Dolichocephala	irrorata
Dolichocephala	ocellata
Dolichocephala	thomasi
Dolichopeza	albipes
Dolichophorus	kerteszii
Dolichopus (Dolichopus)	arbustorum
Dolichopus (Dolichopus)	atratus
Dolichopus (Dolichopus)	cilifemoratus
Dolichopus (Dolichopus)	excisus
Dolichopus (Dolichopus)	griseipennis
Dolichopus (Dolichopus)	nubilus
Dolichopus (Dolichopus)	pennatus
Dolichopus (Dolichopus)	phaeopus
Dolichopus (Dolichopus)	plumipes
Dolichopus (Dolichopus)	popularis
Dolichopus (Dolichopus)	signatus
Dolichopus (Dolichopus)	trivialis
Dolichopus (Dolichopus)	ungulatus
Dolichopus (Dolichopus)	urbanus
Donacia	aquatica
Donacia	bicolora
Donacia	cinerea
Donacia	clavipes
Donacia	crassipes
Donacia	dentata
Donacia	group
Donacia	impressa
Donacia	marginata
Donacia	obscura
Donacia	semicuprea
Donacia	simplex
Donacia	sparganii
Donacia	thalassina
Donacia	versicolorea
Donacia	vulgaris
Dorydrilus	michaelseni
Dorylaimellus	globatus
Dorylaimus	stagnalis
Dorystoma	caudata
Dreissena	polymorpha
Drepanothrix 	dentata
Drupenatus	nasturtii
Drusus	annulatus
Dryodromia	testacea
Dryops (Dryops)	anglicanus
Dryops (Dryops)	auriculatus
Dryops (Dryops)	ernesti
Dryops (Dryops)	griseus
Dryops (Dryops)	luridus
Dryops (Dryops)	similaris
Dryops (Dryops)	striatellus
Dryops (Yrdops)	nitidulus
Dugesia	gonocephala
Dugesia	gonocephala group
Dugesia	lugubris
Dugesia	polychroa
Dugesia	polychroa group
Dugesia	tigrina
Dunhevedia 	crassa
Dytiscus	circumcinctus
Dytiscus	circumflexus
Dytiscus	dimidiatus
Dytiscus	lapponicus
Dytiscus	marginalis
Dytiscus	semisulcatus
Ecclisopteryx	guttulata
Ecdyonurus	dispar
Ecdyonurus	insignis
Ecdyonurus	torrentis
Ecdyonurus	venosus
Echiniscus (Bryodelphax)	parvulus
Echiniscus (Echiniscus)	granulatus
Echiniscus (Echiniscus)	mediantus
Echiniscus (Echiniscus)	oihonnae
Echiniscus (Echiniscus)	quadrispinosus
Echiniscus (Echiniscus)	reticulatus
Echiniscus (Echiniscus)	spitsbergensis
Echiniscus (Echiniscus)	testudo
Echiniscus (Echiniscus)	tympanista
Echiniscus (Echiniscus)	viridis
Echiniscus (Echiniscus)	wendti
Echiniscus (Hypechiniscus)	gladiator
Echinogammarus	berilloni
Eclipidrilus	lacustris
Ecnomus	tenellus
Ectocyclops	phaleratus
Einfeldia	group
Einfeldia	pagana
Einfeldia	palaearctica
Eiseniella	tetraedra
Electrogena	affinis
Electrogena	lateralis
Elgiva	cucularia
Elgiva	solicita
Ellipteroides (Ellipteroides)	lateralis
Ellipteroides (Protogonomyia)	alboscutellatus
Ellipteroides (Protogonomyia)	limbatus
Elmis	aenea
Elodes	elongata
Elodes	group
Elodes	minuta
Elodes	pseudominuta
Elodes	tricuspis
Eloeophila	apicata
Eloeophila	maculata
Eloeophila	mundata
Eloeophila	submarmorata
Eloeophila	trimaculata
Eloeophila	verralli
Elophila	nymphaeata
Elosa	woralli
Embata	commensalis
Embata	hamata
Embata	laticeps
Embata	laticornis
Embata	parasitica
Embolocephalus	velutinus
Enallagma	cyathigerum
Encentrum (Encentrum)	felis
Encentrum (Encentrum)	grande
Encentrum (Encentrum)	marinum
Encentrum (Encentrum)	mustela
Encentrum (Encentrum)	rousseleti
Encentrum (Encentrum)	voigti
Encentrum (Parencentrum)	plicatum
Encentrum (Parencentrum)	saundersiae
Enchytraeus	albidus
Enchytraeus	buchholzi
Enchytraeus	minutus
Endochironomus	albipennis
Endochironomus	group
Endochironomus	tendens
Endromopoda	arundinator
Enicocerus	exsculptus
Enochrus	affinis
Enochrus	bicolor
Enochrus	coarctatus
Enochrus	fuscipennis
Enochrus	halophilus
Enochrus	melanocephalus
Enochrus	nigritus
Enochrus	ochropterus
Enochrus	quadripunctatus
Enochrus	testaceus
Enteroplea	lacustris
Eosphora	ehrenbergi
Eosphora	najas
Eothinia	elongata
Epactophanes	richardi
Ephemera	danica
Ephemera	lineata
Ephemera	vulgata
Ephemerella	notata
Ephydatia	fluviatilis
Ephydatia	mulleri
Ephydra	macellaria
Ephydra	riparia
Epiphanes	brachionus
Epiphanes	clavatula
Epiphanes	senta
Epiphragma (Epiphragma)	ocellare
Epoicocladius	ephemerae
Ergasilus	briani
Ergasilus	gibbus
Ergasilus	lizae
Ergasilus	sieboldi
Erignatha	clastopis
Eriocheir	sinensis
Erioconopa	diuturna
Erioconopa	trivialis
Erioptera	group
Erioptera (Erioptera)	divisa
Erioptera (Erioptera)	flavata
Erioptera (Erioptera)	flavissima
Erioptera (Erioptera)	fuscipennis
Erioptera (Erioptera)	fusculenta
Erioptera (Erioptera)	griseipennis
Erioptera (Erioptera)	limbata
Erioptera (Erioptera)	lutea
Erioptera (Erioptera)	meijerei
Erioptera (Erioptera)	nielseni
Erioptera (Erioptera)	sordida
Erioptera (Erioptera)	squalida
Erioptera (Erioptera)	verralli
Erioptera (Mesocyphona)	bivittata
Eristalinus (Eristalinus)	sepulchralis
Eristalinus (Lathyropthalmus)	aeneus
Eristalis (Eoseristalis)	abusiva
Eristalis (Eoseristalis)	arbustorum
Eristalis (Eoseristalis)	cryptarum
Eristalis (Eoseristalis)	horticola
Eristalis (Eoseristalis)	intricaria
Eristalis (Eoseristalis)	nemorum
Eristalis (Eoseristalis)	pertinax
Eristalis (Eoseristalis)	rupium
Eristalis (Eoseristalis)	similis
Eristalis (Eristalis)	tenax
Ernodes	articularis
Erotesis	baltica
Erpobdella	octoculata
Erpobdella	testacea
Erythromma	najas
Erythromma	viridulum
Esolus	parallelepipedus
Ethiromyia	chalybeata
Ethmolaimus	pratensis
Eubria	palustris
Eubrychius	velutus
Eucephalobus	elongatus
Euchlanis	deflexa
Euchlanis	dilatata
Euchlanis	incisa
Euchlanis	lyra
Euchlanis	meneta
Euchlanis	oropha
Euchlanis	parva
Euchlanis	pyriformis
Euchlanis	triquetra
Euconulus	fulvus
Eucyclops	macruroides
Eucyclops	macrurus
Eucyclops	serrulatus
Eucyclops	speratus
Eucypris	anglica
Eucypris	clavata
Eucypris	crassa
Eucypris	elliptica
Eucypris	lilljeborgi
Eucypris	lutaria
Eucypris	ornata
Eucypris	pigra
Eucypris	virens
Eucypris	zenkeri
Eudiaptomus	gracilis
Eudiaptomus	vulgaris
Eudorylaimus	acuticauda
Eudorylaimus	carteri
Eudorylaimus	iners
Eudorylaimus	intermedius
Eudorylaimus	rhopalocercus
Eukiefferiella	ancyla
Eukiefferiella	brevicalcar
Eukiefferiella	claripennis
Eukiefferiella	clypeata
Eukiefferiella	coerulescens
Eukiefferiella	devonica
Eukiefferiella	dittmari
Eukiefferiella	fittkaui
Eukiefferiella	fuldensis
Eukiefferiella	gracei
Eukiefferiella	group
Eukiefferiella	ilkleyensis
Eukiefferiella	minor
Eukiefferiella	tirolensis
Eunapius	fragilis
Euphylidorea	aperta
Euphylidorea	dispar
Euphylidorea	lineola
Euphylidorea	meigeni
Euphylidorea	phaeostigma
Eurycercus 	glacialis
Eurycercus 	lamellatus
Eurycnemus	crassipes
Eurytemora	affinis
Eurytemora	americana
Eurytemora	velox
Euteratocephalus	crassidens
Euteratocephalus	palustris
Euthyas	truncata
Eylais	bicornuta
Eylais	bisinuosa
Eylais	celtica
Eylais	coccinea
Eylais	discreta
Eylais	dividua
Eylais	extendens
Eylais	gigas
Eylais	hamata
Eylais	infundibulifera
Eylais	insularis
Eylais	koenikei
Eylais	meridionalis
Eylais	mulleri
Eylais	neglecta
Eylais	relicta
Eylais	rimosa
Eylais	symmetrica
Eylais	tantilla
Eylais	wilsoni
Feltria (Azugofeltria)	motasi
Feltria (Feltria)	cornuta
Feltria (Feltria)	denticulata
Feltria (Feltria)	minuta
Feltria (Feltria)	rouxi
Feltria (Feltria)	subterranea
Ferrissia (Pettancylus)	clessiniana
Feuerborniella	obscura
Filinia	cornuta
Filinia	longiseta
Filinia	terminalis
Fleuria	lacustris
Floscularia	janus
Floscularia	melicerta
Floscularia	ringens
Forcipomyia (Caloforcipomyia)	glauca
Forcipomyia (Euprojoannisia)	alacris
Forcipomyia (Euprojoannisia)	palustris
Forcipomyia (Euprojoannisia)	phlebotomoides
Forcipomyia (Euprojoannisia)	titillans
Forcipomyia (Forcipomyia)	bipunctata
Forcipomyia (Forcipomyia)	brevipennis
Forcipomyia (Forcipomyia)	ciliata
Forcipomyia (Forcipomyia)	costata
Forcipomyia (Forcipomyia)	crassipes
Forcipomyia (Forcipomyia)	kaltenbachii
Forcipomyia (Forcipomyia)	myrmecophila
Forcipomyia (Forcipomyia)	nigra
Forcipomyia (Forcipomyia)	pulchrithorax
Forcipomyia (Forcipomyia)	radicicola
Forcipomyia (Forcipomyia)	sphagnophila
Forcipomyia (Forcipomyia)	tenuisquama
Forcipomyia (Microhelea)	fuliginosa
Forcipomyia (Panhelea)	brevicubitus
Forcipomyia (Pterobosca)	paludis
Forcipomyia (Synthyridomyia)	murina
Forcipomyia (Thyridomyia)	frutetorum
Forcipomyia (Thyridomyia)	monilicornis
Forcipomyia (Thyridomyia)	rugosa
Forcipomyia (Trichohelea)	eques
Forcipomyia (Trichohelea)	tonnoiri
Forelia (Forelia)	brevipes
Forelia (Forelia)	liliacea
Forelia (Forelia)	variegator
Fredericella	sultana
Fridericia	aurita
Fridericia	bisetosa
Fridericia	galba
Fridericia	hegemon
Fridericia	leydigi
Fridericia	perrieri
Frontipoda	carpenteri
Frontipoda	musculus
Galba	truncatula
Gammarus	chevreuxi
Gammarus	duebeni
Gammarus	lacustris
Gammarus	locusta
Gammarus	oceanicus
Gammarus	pulex
Gammarus	salinus
Gammarus	tigrinus
Gammarus	zaddachi
Gastropus	hyptopus
Gastropus	minor
Gastropus	stylifer
Gelis	cinctus
GENUS (SUBGENUS) NAME	SPECIES NAME
Geocentrophora	baltica
Geocentrophora	sphyrocephala
Georissus	crenulatus
Georthocladius	luteicornis
Geranomyia	bezzii
Geranomyia	unicolor
Gerris	argentatus
Gerris	costae
Gerris	gibbifer
Gerris	group
Gerris	lacustris
Gerris	lateralis
Gerris	odontogaster
Gerris	thoracicus
Gieysztoria	diadema
Gieysztoria	infundibuliformis
Gieysztoria	rubra
Glaenocorisa	propinqua
Glossiphonia	complanata
Glossiphonia	group
Glossiphonia	paludosa
Glossiphonia	verrucata
Glossosoma	boltoni
Glossosoma	conformis
Glossosoma	intermedium
Glyphotaelius	pellucidus
Glyptotendipes (Caulochironomus)	foliicola
Glyptotendipes (Caulochironomus)	imbecilis
Glyptotendipes (Caulochironomus)	scirpi
Glyptotendipes (Caulochironomus)	viridis
Glyptotendipes (Glyptotendipes)	barbipes
Glyptotendipes (Glyptotendipes)	cauliginellus
Glyptotendipes (Glyptotendipes)	glaucus
Glyptotendipes (Glyptotendipes)	pallens
Glyptotendipes (Glyptotendipes)	paripes
Glyptotendipes (Glyptotendipes)	salinus
Glyptotendipes (Heynotendipes)	signatus
Gnophomyia	elsneri
Gnophomyia	lugubris
Gnophomyia	viridipennis
Goera	pilosa
Gomphus	flavipes
Gomphus	vulgatissimus
Gonempeda	flava
Gonempeda	group
Gonomyia (Gonomyia)	bifida
Gonomyia (Gonomyia)	conoviensis
Gonomyia (Gonomyia)	dentata
Gonomyia (Gonomyia)	hippocampi
Gonomyia (Gonomyia)	lucidula
Gonomyia (Gonomyia)	recta
Gonomyia (Gonomyia)	simplex
Gonomyia (Gonomyia)	tenella
Gonomyia (Prolipophleps)	abbreviata
Gonomyia (Teuchogonomyia)	edwardsi
Gordionus	violaceus
Gordionus	wolterstorffi
Gordius	villoti
Graceus	ambiguus
Graeteriella	unisetigera
Grammotaulius	nigropunctatus
Grammotaulius	nitidus
Graphoderus	bilineatus
Graphoderus	cinereus
Graphoderus	zonatus
Graptodytes	bilineatus
Graptodytes	flavipes
Graptodytes	granularis
Graptodytes	pictus
Graptoleberis 	testudinaria
Grypus	equiseti
Guttipelopia	guttipennis
Gymnetron	beccabungae
Gymnetron	veronicae
Gymnetron	villosulum
Gymnometriocnemus	brevitarsis
Gymnometriocnemus	brumalis
Gymnometriocnemus	subnudus
Gymnopternus	aerosus
Gymnopternus	assimilis
Gyratrix	hermaphroditus
Gyraulus (Armiger)	crista
Gyraulus (Gyraulus)	acronicus
Gyraulus (Gyraulus)	albus
Gyraulus (Torquis)	laevis
Gyrinophagus	aper
Gyrinus	aeratus
Gyrinus	caspius
Gyrinus	distinctus
Gyrinus	marinus
Gyrinus	minutus
Gyrinus	natator
Gyrinus	natator group
Gyrinus	opacus
Gyrinus	paykulli
Gyrinus	substriatus
Gyrinus	suffriani
Gyrinus	urinator
Haber	speciosus
Habrophlebia	fusca
Habrotrocha	angusticollis
Habrotrocha	annulata
Habrotrocha	appendiculata
Habrotrocha	aspera
Habrotrocha	bidens
Habrotrocha	collaris
Habrotrocha	constricta
Habrotrocha	crenata
Habrotrocha	elegans
Habrotrocha	eremita
Habrotrocha	flava
Habrotrocha	flaviformis
Habrotrocha	fusca
Habrotrocha	insignis
Habrotrocha	lata
Habrotrocha	leitgebi
Habrotrocha	ligula
Habrotrocha	longiceps
Habrotrocha	longula
Habrotrocha	microcephala
Habrotrocha	minuta
Habrotrocha	munda
Habrotrocha	pavida
Habrotrocha	pulchra
Habrotrocha	pusilla
Habrotrocha	reclusa
Habrotrocha	roeperi
Habrotrocha	spicula
Habrotrocha	sylvestris
Habrotrocha	thermalis
Habrotrocha	tridens
Habrotrocha	tripus
Habrotrocha	visa
Haematopota	bigoti
Haematopota	crassicornis
Haematopota	grandis
Haematopota	subcylindrica
Haemopis	sanguisuga
Hagenella	clathrata
Halesus	digitatus
Halesus	radiatus
Halicyclops	magniceps
Halicyclops	neglectus
Haliplus	ruficollis group
Haliplus (Haliplinus)	apicalis
Haliplus (Haliplinus)	fluviatilis
Haliplus (Haliplinus)	furcatus
Haliplus (Haliplinus)	heydeni
Haliplus (Haliplinus)	immaculatus
Haliplus (Haliplinus)	lineolatus
Haliplus (Haliplinus)	ruficollis
Haliplus (Haliplinus)	sibiricus
Haliplus (Haliplus)	confinis
Haliplus (Haliplus)	obliquus
Haliplus (Haliplus)	varius
Haliplus (Liaphlus)	flavicollis
Haliplus (Liaphlus)	fulvus
Haliplus (Liaphlus)	laminatus
Haliplus (Liaphlus)	mucronatus
Haliplus (Liaphlus)	variegatus
Haliplus (Neohaliplus)	lineatocollis
Halocladius (Halocladius)	fucicola
Halocladius (Halocladius)	variabilis
Halocladius (Halocladius)	varians
Halocladius (Psammocladius)	braunsi
Haplotaxis	gordioides
Harnischia	curtilamellata
Harnischia	fuscimana
Harringia	eupoda
Hayesomyia	tripunctata
Hebrus (Hebrus)	pusillus
Hebrus (Hebrusella)	ruficeps
Heleniella	ornaticollis
Heleobia	stagnorum
Heleodromia	immaculata
Helius (Helius)	flavus
Helius (Helius)	hispanicus
Helius (Helius)	longirostris
Helius (Helius)	pallirostris
Helobdella	stagnalis
Helochares	lividus
Helochares	obscurus
Helochares	punctatus
Helodrilus	oculatus
Helophilus	affinis
Helophilus	groenlandicus
Helophilus	hybridus
Helophilus	pendulus
Helophilus	trivittatus
Helophorus (Atracthelophorus)	arvernicus
Helophorus (Atracthelophorus)	brevipalpis
Helophorus (Cyphelophorus)	tuberculatus
Helophorus (Empleurus)	nubilus
Helophorus (Empleurus)	porculus
Helophorus (Empleurus)	rufipes
Helophorus (Helophorus)	dorsalis
Helophorus (Helophorus)	flavipes
Helophorus (Helophorus)	fulgidicollis
Helophorus (Helophorus)	granularis
Helophorus (Helophorus)	griseus
Helophorus (Helophorus)	laticollis
Helophorus (Helophorus)	longitarsis
Helophorus (Helophorus)	minutus
Helophorus (Helophorus)	nanus
Helophorus (Helophorus)	obscurus
Helophorus (Helophorus)	strigifrons
Helophorus (Megahelophorus)	aequalis
Helophorus (Megahelophorus)	grandis
Helophorus (Trichohelophorus)	alternans
Hemerodromia	adulatoria
Hemerodromia	baetica
Hemerodromia	laudatoria
Hemerodromia	melangyna
Hemerodromia	oratoria
Hemerodromia	raptoria
Hemerodromia	unilineata
Hemianax	ephippiger
Hemiclepsis	marginata
Hemimysis	anomala
Hemiteles	bipunctator
Hemiteles	maricesca
Hemiteles	rubropleuralis
Hemiteles	similis
Henlea	perpusilla
Henlea	ventriculosa
Henoceros	falcatus
Heptagenia	group
Heptagenia	longicauda
Heptagenia	sulphurea
Hercostomus (Hercostomus)	chetifer
Hercostomus (Hercostomus)	nigripennis
Herpetocypris	agilis
Herpetocypris	brevicaudata
Herpetocypris	chevreuxi
Herpetocypris	intermedia
Herpetocypris	palpiger
Herpetocypris	reptans
Hesperocorixa	castanea
Hesperocorixa	linnaei
Hesperocorixa	moesta
Hesperocorixa	sahlbergi
Heterocerus	fenestratus
Heterocerus	flexuosus
Heterocerus	fossor
Heterocerus	fusculus
Heterocerus	marginatus
Heterocerus	obsoletus
Heterocypris	incongruens
Heterocypris	salina
Heterolepidoderma	marinum
Heteromastus	filiformis
Heterosminthurus	insignis
Heterosminthurus	novemlineatus
Heterotanytarsus	apicalis
Heterotrissocladius	brundini
Heterotrissocladius	grimshawi
Heterotrissocladius	marcidus
Hexarthra	mira
Hexatoma (Hexatoma)	bicolor
Hexatoma (Hexatoma)	fuscipennis
Hilara	anglodanica
Hilara	beckeri
Hilara	brevistyla
Hilara	chorica
Hilara	cornicula
Hilara	flavipes
Hilara	galactoptera
Hilara	intermedia
Hilara	interstincta
Hilara	litorea
Hilara	longifurca
Hilara	longivittata
Hilara	lundbecki
Hilara	manicata
Hilara	maura
Hilara	morata
Hilara	nigrina
Hilara	obscura
Hilara	quadrifasciata
Hilara	quadriseta
Hilara	rejecta
Hilara	subpollinosa
Hilara	thoracica
Hippeutis	complanatus
Hirudo	medicinalis
Holocentropus	dubius
Holocentropus	picicornis
Holocentropus	stagnalis
Holopedium 	gibberum
Homochaeta	naidina
Homochaeta	setosa
Hoplolabis (Parilisia)	areolata
Hoplolabis (Parilisia)	vicina
Hoplolabis (Parilisia)	yezoana
Huitfeldtia	rectipes
Hungarohydracarus	subterraneus
Hyalinella	punctata
Hybomitra	bimaculata
Hybomitra	ciureai
Hybomitra	distinguenda
Hybomitra	expollicata
Hybomitra	lurida
Hybomitra	micans
Hybomitra	montana
Hybomitra	muehlfeldi
Hybomitra	solstitialis
Hydaticus	seminiger
Hydaticus	transversalis
Hydatophylax	infumatus
Hydra	circumcincta
Hydra	graysoni
Hydra	oligactis
Hydra	viridissima
Hydrachna	ferox
Hydrachna	placida
Hydrachna	punctata
Hydrachna	sparsa
Hydrachna	spinifera
Hydrachna	varia
Hydrachna (Diplohydrachna)	conjecta
Hydrachna (Diplohydrachna)	distincta
Hydrachna (Diplohydrachna)	georgei
Hydrachna (Diplohydrachna)	globosa
Hydrachna (Hydrachna)	cruenta
Hydrachna (Hydrachna)	skorikowi
Hydrachna (Rhabdohydrachna)	bivirgulata
Hydrachna (Rhabdohydrachna)	comosa
Hydrachna (Rhabdohydrachna)	geographica
Hydrachna (Rhabdohydrachna)	halberti
Hydrachna (Rhabdohydrachna)	incisa
Hydrachna (Rhabdohydrachna)	leegei
Hydrachna (Rhabdohydrachna)	levis
Hydrachna (Rhabdohydrachna)	processifera
Hydrachna (Rhabdohydrachna)	williamsoni
Hydraena	britteni
Hydraena	flavipes
Hydraena	gracilis
Hydraena	nigrita
Hydraena	palustris
Hydraena	pulchella
Hydraena	pygmaea
Hydraena	riparia
Hydraena	rufipes
Hydraena	testacea
Hydrellia	albilabris
Hydrellia	cardamines
Hydrellia	cochleariae
Hydrellia	flavicornis
Hydrellia	griseola
Hydrellia	maura
Hydrellia	mutata
Hydrellia	nigricans
Hydrellia	ranunculi
Hydrellia	subalbiceps
Hydrobia	group
Hydrobia (Hydrobia)	acuta
Hydrobius	fuscipes
Hydrochara	caraboides
Hydrochoreutes	krameri
Hydrochoreutes	ungulatus
Hydrochus	angustatus
Hydrochus	brevis
Hydrochus	crenatus
Hydrochus	elongatus
Hydrochus	ignicollis
Hydrochus	megaphallus
Hydrochus	nitidicollis
Hydrocyphon	deflexicollis
Hydrodroma	despiciens
Hydroglyphus	geminus
Hydrometra	gracilenta
Hydrometra	stagnorum
Hydromya	dorsalis
Hydromyza	livens
Hydrophilus	piceus
Hydrophorus	albiceps
Hydrophorus	balticus
Hydrophorus	bipunctatus
Hydrophorus	litoreus
Hydrophorus	nebulosus
Hydrophorus	oceanus
Hydrophorus	praecox
Hydrophorus	viridis
Hydroporus	angustatus
Hydroporus	discretus
Hydroporus	elongatulus
Hydroporus	erythrocephalus
Hydroporus	ferrugineus
Hydroporus	glabriusculus
Hydroporus	gyllenhalii
Hydroporus	incognitus
Hydroporus	longicornis
Hydroporus	longulus
Hydroporus	marginatus
Hydroporus	melanarius
Hydroporus	memnonius
Hydroporus	morio
Hydroporus	necopinatus
Hydroporus	neglectus
Hydroporus	nigrita
Hydroporus	obscurus
Hydroporus	obsoletus
Hydroporus	palustris
Hydroporus	planus
Hydroporus	pubescens
Hydroporus	rufifrons
Hydroporus	scalesianus
Hydroporus	striola
Hydroporus	tessellatus
Hydroporus	tristis
Hydroporus	umbrosus
Hydropsyche	angustipennis
Hydropsyche	bulgaromanorum
Hydropsyche	contubernalis
Hydropsyche	exocellata
Hydropsyche	fulvipes
Hydropsyche	instabilis
Hydropsyche	pellucidula
Hydropsyche	saxonica
Hydropsyche	siltalai
Hydroptila	angulata
Hydroptila	cornuta
Hydroptila	forcipata
Hydroptila	lotensis
Hydroptila	martini
Hydroptila	occulta
Hydroptila	pulchricornis
Hydroptila	simulans
Hydroptila	sparsa
Hydroptila	sylvestris
Hydroptila	tigurina
Hydroptila	tineoides
Hydroptila	valesiaca
